ID_BANDA;BANDA;TITULO;ANIO;ESTILO;FUENTE;DISCO;URL;FLAGS;MATCH
2;AM Redención;El Camino, la Verdad y la Vida;2025;AM;deezer;Momentos 2024: Sonando a Córdoba;https://www.deezer.com/track/3295393101;sin_autor_detectado,posible_popurri,posible_duplicado,banda_estreno_sin_verificar;0.892
2;AM Redención;El Pan de Vida;2025;AM;deezer;Momentos 2024: Sonando a Córdoba;https://www.deezer.com/track/3295393131;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.8
2;AM Redención;La Conversión;2023;AM;deezer;La Conversión (Live);https://www.deezer.com/track/2555545262;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.87
2;AM Redención;Las Cinco Estrellas de tu Cara;2025;AM;deezer;Momentos 2024: Sonando a Córdoba;https://www.deezer.com/track/3295393191;sin_autor_detectado,banda_estreno_sin_verificar;
2;AM Redención;Señor de San Basilio 25 Aniversario;2026;AM;deezer;Señor de San Basilio 25 Aniversario - Live;https://www.deezer.com/track/3897806541;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;A ti, Sevilla de mis amores;2024;AM;deezer;A ti, Sevilla de mis amores;https://www.deezer.com/track/3164884201;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;Alemanes con Cardenal Amigo Vallejo. (Blanca Paloma, La Salve Rociera y Espíritu Santo);2026;AM;deezer;El camino a la Coronación;https://www.deezer.com/track/4099035651;sin_autor_detectado,posible_popurri,banda_estreno_sin_verificar;
11;AM Redención;Álvarez Quintero con Entre Cárceles. (Divino Redentor);2026;AM;deezer;El camino a la Coronación;https://www.deezer.com/track/4099035541;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;Bajada de la rampa del Salvador. (Madre);2026;AM;deezer;El camino a la Coronación;https://www.deezer.com/track/4099035511;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;Cerca de Ti, Señor;2024;AM;deezer;Redención en Getsemaní;https://www.deezer.com/track/2705234542;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.786
11;AM Redención;Con Tu Espíritu;2026;AM;deezer;Con Tu Espíritu;https://www.deezer.com/track/3818671861;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;Entre Cárceles con Francisco Bruna. (Cristo entre Nosotros);2026;AM;deezer;El camino a la Coronación;https://www.deezer.com/track/4099035551;sin_autor_detectado,banda_estreno_sin_verificar;
11;AM Redención;Fragmento a la Exaltación al 75 Lunes Santo;2024;AM;deezer;Aniversario en Santiago;https://www.deezer.com/track/2705205992;sin_autor_detectado,banda_estreno_sin_verificar;
